My Fuel Manager - Fuel
Date;Fillup volume;Odometer;Total price;Currency;Fuel;Tank status after fillup;%;Note;Vehicle name
7/20/2025;57;95116;86.58;USD;2;F;100;"";"Volvo"
7/5/2025;65.01;94497;91.6;USD;2;F;100;"";"Volvo"
6/18/2025;49.01;93645;67.83;USD;2;F;100;"";"Volvo"
5/30/2025;66;93006;92.33;USD;2;F;100;"";"Volvo"
5/5/2025;66.02;92201;89.82;USD;2;F;100;"";"Volvo"
4/14/2025;68;91430;97.85;USD;2;F;100;"";"Volvo"
4/14/2025;68;9;97.85;USD;2;F;0;"";"Volvo"
3/27/2025;62;90691;89.22;USD;2;F;100;"";"Volvo"
2/26/2025;63.68;90030;94.87;USD;2;F;100;"";"Volvo"
2/7/2025;37.3;89459;55.91;USD;2;F;100;"";"Volvo"
1/29/2025;67;89087;107.13;USD;2;F;100;"";"Volvo"
1/5/2025;63;88456;95.07;USD;2;F;100;"";"Volvo"
12/17/2024;65;87892;94.45;USD;2;F;100;"";"Volvo"
11/27/2024;62.5;87251;94.94;USD;2;F;100;"";"Volvo"
11/9/2024;68;86465;97.17;USD;2;F;100;"";"Volvo"
10/10/2024;65;85651;94.84;USD;2;F;100;"";"Volvo"
9/11/2024;65;84836;99.39;USD;2;F;100;"";"Volvo"
8/14/2024;66;84072;96.29;USD;2;F;100;"";"Volvo"
7/17/2024;69.01;83260;108.97;USD;2;F;100;"";"Volvo"
6/24/2024;66;82437;95;USD;2;F;98;"";"Volvo"
6/1/2024;69;81591;99.98;USD;2;F;100;"";"Volvo"
5/16/2024;69;80585;104.81;USD;2;F;100;"";"Volvo"
4/27/2024;64.5;79665;101.2;USD;2;F;100;"";"Volvo"
4/7/2024;65.41;78857;100.01;USD;2;F;100;"";"Volvo"
4/1/2024;57;77956;87.72;USD;2;F;100;"";"Volvo"
3/10/2024;68.01;77353;105.35;USD;2;F;100;"";"Volvo"
2/17/2024;65;76700;101.98;USD;2;F;100;"";"Volvo"
1/28/2024;65;76051;103.29;USD;2;F;100;"";"Volvo"
1/18/2024;53;75306;84.75;USD;2;F;100;"";"Volvo"
1/3/2024;61.01;74817;95.72;USD;2;F;100;"";"Volvo"
12/7/2023;58;74252;91;USD;2;F;100;"";"Volvo"
11/10/2023;65.26;73704;105;USD;2;F;100;"";"Volvo"
10/15/2023;65;73008;108.85;USD;2;F;100;"";"Volvo"
9/28/2023;65;72183;110.11;USD;2;F;100;"";"Volvo"
9/7/2023;62.55;71449;100.02;USD;2;F;100;"";"Volvo"
8/18/2023;40;426220;2416;USD;2;F;62;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2023;35;425583;2101.75;USD;2;F;96;"Пермь";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/13/2023;35;424965;1942.5;USD;2;F;95;"Казань";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/13/2023;46;424296;2633.5;USD;2;F;100;"Vladimir";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/12/2023;40.01;423591;2344.59;USD;2;F;100;"М11";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/11/2023;35;423014;57.02;USD;2;F;100;"Circle k";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/29/2023;58.21;422628;89;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/2/2023;57.52;421940;86.22;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/31/2023;56.04;421272;84;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/3/2023;59;420587;88.44;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/3/2023;56;419928;88.42;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/4/2023;55.02;419350;93.48;USD;2;F;100;"Circle K";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/4/2023;54.02;418753;95.02;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/8/2023;55.79;418205;92;USD;2;F;100;"Circle k";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/8/2022;56;417607;98.5;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/6/2022;56.45;417048;110.02;USD;2;F;100;"Tallinn, Circle K";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/9/2022;54.01;416403;101.58;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2022;55.38;415739;101;USD;2;F;100;"K Circle, Tallinn";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/23/2022;56.39;415090;100.04;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/23/2022;55.15;414369;103.35;USD;2;F;100;"Circle k, TALLINN";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/2/2022;55;413580;110;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/16/2022;56;412854;102.14;USD;2;F;100;"Circle K, Tallinn";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/16/2022;45;412157;80;USD;2;F;100;"circle K, Tallinn";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/12/2022;57.22;411617;111.52;USD;2;F;100;"Circle k, Tallinn, euro";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/12/2022;57.22;4116;111.52;USD;2;F;0;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/4/2022;55.15;410986;81.57;USD;2;F;100;"Circle, 81,57 euro";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/9/2022;40;410288;2114;USD;2;F;100;"Кингисепп";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/4/2022;54;409704;6238.15;USD;2;F;100;"K circle, euro. Tallinn";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/28/2021;39;409047;2061.15;USD;2;F;100;"Кингисепп";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/28/2021;24;408409;1251.36;USD;2;F;100;"Лукойл, Тверь";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/27/2021;48.56;408087;2578.05;USD;2;F;100;"Shell, лапинск";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/27/2021;43;407434;2132.8;USD;2;F;96;"Казань, Лукойл";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/26/2021;20;406687;1076;USD;2;F;98;"Пермь, Лукойл";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/25/2021;40;406313;2166;USD;2;F;100;"Газпром, перед выездом в Таллин";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/14/2021;33.43;405916;1756.75;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/5/2021;25;405540;1303.75;USD;2;F;100;"Зимнее и присадка";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/16/2021;55;405220;2843.5;USD;2;F;100;"Екатеринбург";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/15/2021;30;404549;1263;USD;2;F;81;"Петропаловск, 30 литров из Канистр Гелиоса";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/15/2021;50;403822;2105;USD;2;F;96;"Караганда, 50 литров канистры с helios’a";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/14/2021;30;403286;1228;USD;2;F;80;"Сарышаган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/13/2021;29;402535;1255;USD;2;F;100;"Лариса, Текели";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/12/2021;25;402220;1622;USD;2;F;96;"Petrol asia. Зимнее ДТ, в Алматы";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2021;40;401544;1578;USD;2;F;85;"Текели, helios";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2021;10;401544;495;USD;2;F;100;"Текели, Канистра газпрома";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2021;10;401778;403;USD;2;F;98;"Канистра из караганды";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/5/2021;29.24;400760;1067;USD;2;F;98;"Сары-шаган, казмунайгаз";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/5/2021;10;400222;386;USD;2;F;100;"Караганда. Топливный коизис";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/5/2021;50;400010;1877;USD;2;F;100;"Астана, helios";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/4/2021;25;3.22;1278.75;USD;2;F;100;"Курган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/4/2021;25;399129;1278.75;USD;2;F;0;"Курган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/3/2021;38.65;398780;1930.57;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/19/2021;59.18;398364;3000.43;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/5/2021;37;397723;1768.6;USD;2;F;95;"Тагил";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/4/2021;45;397101;2241;USD;2;F;97;"Тагил";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/22/2021;47;396480;2368;USD;2;F;97;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/5/2021;53;395964;2660.6;USD;2;F;97;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/19/2021;56.17;395389;2800.07;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/20/2021;57.78;394800;2961.23;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/29/2021;56.97;394179;2919.71;USD;2;F;100;"Восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/17/2021;53.94;393427;2678.12;USD;2;F;96;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/10/2021;45;392788;2328.75;USD;2;F;95;"Пермь, ГПН";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/9/2021;50.18;391889;2402.62;USD;2;F;100;"Лукойл,  52062. Нижегородская обл.";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/9/2021;30.67;391080;1505.52;USD;2;F;100;"Shell, тверь.  Азс 11049";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/8/2021;53.47;390534;2646.23;USD;2;F;100;"Bp, санкт петербург";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/5/2021;57.6;389777;2900.16;USD;2;F;100;"Гпн, 116, Санкт-Петербург";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/4/2021;48.82;388924;2416.1;USD;2;F;100;"Shell, Лакинск 33139";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/4/2021;20;388220;965;USD;2;F;96;"Казань, ГПН, азс 605";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/2/2021;50.52;387843;2460.32;USD;2;F;96;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2021;52.69;387052;2700.36;USD;2;F;100;"Перед поездкой";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/10/2021;57.44;386547;2958.16;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/25/2021;56.23;386005;2878.98;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/7/2021;58.45;385514;2980.95;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/21/2021;51.88;384987;2604.38;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/24/2021;50;384151;2510;USD;2;F;95;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/10/2021;50.58;383728;2549.23;USD;2;F;100;"Гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/30/2020;50.02;383232;2428.47;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/17/2020;57.68;382685;2850.57;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/29/2020;54.3;382179;2736.72;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/15/2020;33.81;381600;1690.5;USD;2;F;100;"Гпн. Восточная. Зимнее топливо + присадка. иначе не завелся вчера из-за застывшего топлива";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2020;54.7;380641;2579.11;USD;2;F;98;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/27/2020;30;380277;1423.5;USD;2;F;63;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/13/2020;45;379701;2034;USD;2;F;96;"Тагил, ГПН";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/12/2020;40;379096;1808;USD;2;F;96;"Гпн, тагил";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/8/2020;37;378496;1670.55;USD;2;F;94;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/28/2020;57;378025;2696.1;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/14/2020;57.6;377363;2724.48;USD;2;F;100;"Гпн, шефская";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/25/2020;57;376661;2738.85;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2020;53;375963;2589.05;USD;2;F;95;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/24/2020;35;375261;1613.5;USD;2;F;100;"Ачит";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/21/2020;58.07;374755;2871.56;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/30/2020;57.01;373915;2659.52;USD;2;F;100;"Гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/27/2020;40.09;373349;1908.28;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/23/2020;56.29;372986;2651.25;USD;2;F;100;"Гпн, Шефская";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/3/2020;55.42;372429;2734.98;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/12/2020;57;371944;2755.95;USD;2;F;100;"Гпн, сибирский тракт";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/21/2019;59.77;371362;2910.79;USD;2;F;100;"Гпн, Восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/1/2019;58.93;370802;2858.11;USD;2;F;100;"Гпн, восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/13/2019;55;370267;2607;USD;2;F;100;"Гпн, космонавтов";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/2/2019;45;369523;2205;USD;2;F;100;"Карпинск, гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/28/2019;30;368972;1342.5;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/20/2019;55;368699;2488.75;USD;2;F;97;"Гпн, Кольцово, Летнее";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/8/2019;55;368012;2538.25;USD;2;F;100;"Гпн, Арти";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/8/2019;32;367177;1414.4;USD;2;F;100;"Гпн, Самара, АЗС 106";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2019;48;366675;2172.48;USD;2;F;98;"Лукойл, Пензенская обл, 58612";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2019;46.96;365788;2112.97;USD;2;F;100;"Гпн, Подмосковье, АЗС 310, Сафроново (50 копеек скидка!)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/6/2019;48.98;365060;2634.49;USD;2;F;100;"Гпн, Беларусь, Брест";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/4/2019;50.54;364276;4746.81;USD;2;F;100;"Shell. Poland, Wroslaw";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/1/2019;54.73;363371;5157.77;USD;2;F;100;"Германия, Shell";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/29/2019;42.26;362418;4604.01;USD;2;F;100;"K circle, Sweden, Granna";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/24/2019;48.05;361693;2195.88;USD;2;F;100;"Гпн, Кингисепп, АЗС 105";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/23/2019;41;360893;1906.09;USD;2;F;100;"Shell, ровно как и год назад в подмосковье";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/23/2019;35;360308;1554;USD;2;F;100;"Гпн, АЗС 239";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/22/2019;45;359679;2083.5;USD;2;F;100;"Лукойл, Можга. Азс 61, 18061";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2019;28.24;358911;1321.63;USD;2;F;100;"Екб, ГПН, Восточная. Перед поездкой";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/16/2019;55;358600;2519;USD;2;F;100;"Гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/14/2019;40;357980;1858;USD;2;F;93;"Карпинск, Гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/8/2019;59.24;357362;2656.91;USD;2;F;100;"Гпн, шефская";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/25/2019;56.62;356612;2638.49;USD;2;F;100;"Гпн, восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/18/2019;40;355933;1813;USD;2;F;96;"Ган, тагил. 164 номер";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/17/2019;45;355309;2038.5;USD;2;F;96;"Гпн, Тагил, 164 номер";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/31/2019;55;354789;2547.6;USD;2;F;100;"Лукойл, ПЗС 498";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/12/2019;50;354300;2280;USD;2;F;100;"Гпн Восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/22/2019;56.61;353753;2626.7;USD;2;F;100;"Гпн, восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/1/2019;56.57;353138;2624.85;USD;2;F;100;"Гпн, Восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/24/2019;20;352976;919.2;USD;2;F;39;"Лукойл, екб. Азс 66498";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/11/2019;39;352314;1768.65;USD;2;F;97;"Кургпн, гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/11/2019;25;351846;4875;USD;2;F;81;"Кокчетав, Гелиос";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/10/2019;62.92;351280;12400.48;USD;2;F;100;"Караганда, Гпн   канистра (потратили)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/10/2019;20;350611;3860;USD;2;F;73;"Чиганак, гелиос";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/8/2019;29.67;349955;1003.49;USD;2;F;100;"Талдыкурган, гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/6/2019;45;349555;1518.2;USD;2;F;96;"Гпн, Капчагай на выезде из Алматы";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/2/2019;40;348900;1338.6;USD;2;F;95;"Талдыкурган, ГПН";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2019;20;348819;672.95;USD;2;F;42;"Текели, гелиос";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/29/2019;20;348270;660.32;USD;2;F;70;"Казмунайгаз, бурыбайтал";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/29/2019;45.06;347562;1559;USD;2;F;100;"Караганда, гпн";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/28/2019;25;347018;844.14;USD;2;F;95;"Кокчетав, гелиос";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/28/2019;20;346530;907;USD;2;F;100;"Курган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/27/2019;52.16;346157;2404.58;USD;2;F;100;"Гпн, восточная, перев выездом в Казахстан";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/7/2019;57.38;345657;2639.48;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/17/2019;57.71;345110;2747;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/23/2019;57;344557;2622;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/8/2019;54.09;343926;2531.41;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/23/2019;55.14;343462;2530.19;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/10/2019;51.2;342939;2350.08;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/6/2019;35;342322;1659;USD;2;P;96;"Карпинск, ГПН";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/25/2018;55;341731;2513.5;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/17/2018;52.04;341240;2352.21;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/30/2018;59.24;340686;2772.43;USD;2;F;100;"Гпн, восточная";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/16/2018;30;340400;1356;USD;2;P;56;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/30/2018;52;339851;2246.4;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2018;48.7;339246;2103.84;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/21/2018;20;339098;876;USD;2;P;39;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/19/2018;42.45;338194;1833.84;USD;2;F;100;"";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/10/2018;56.3;337770;2435.62;USD;2;F;100;"Гпн, Екб";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/3/2018;46.38;336568;2081.12;USD;2;F;100;"Гпн, Самара. Азс 106";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/3/2018;20;337177;898.93;USD;2;P;80;"Лукойл,Сим, поворот на мясогутово";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/2/2018;51.66;335022;2350.01;USD;2;P;98;"She'll, мск,можайское";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/2/2018;51.59;335839;2290.08;USD;2;F;100;"Лукойл, Тамбов, АЗС 68856";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/30/2018;55.2;334192;2500.01;USD;2;F;100;"Лукойл, Псков, печопский район, азс 28";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/26/2018;53;333343;2345.25;USD;2;F;100;"Гпн, азс 105,Кингисепп ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
