My Fuel Manager - COSTS
Date;Total price;Currency;Finance category;Odometer;Note;Vehicle name
6/12/2021;741;USD;"Replacement parts";394549;"Фильтр масляный Vag 071215562C";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/12/2021;3578;USD;"Replacement parts";394549;"Тормозные колодки передние. trw GDB1814";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/7/2021;900;USD;"WORK";390173;"Замена тормозной жидкости.  Фаворит, Санкт-петербург, софийская дом 8 лит. Б";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/7/2021;13600;USD;"WORK";390173;"Ремонт суппортов передних.  Фаворит, Санкт-петербург, софийская дом 8 лит. Б";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2021;1;USD;"WORK";387049;"Передние и задние щетки стекол";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2021;2640;USD;"Replacement parts";387049;"Комплект передних щеток. 8k1998002a";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2021;714;USD;"Replacement parts";387049;"Щетка стеклоочистителя. Задняя 8k9955425";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/1/2021;995;USD;"Replacement parts";387049;"Лампа головного света. N10320106";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/25/2021;1990;USD;"Replacement parts";386915;"Компрессор для колес";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/25/2021;2340;USD;"WORK";386915;"Замена резины зима->лето. Замена 1900, грузики 440";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/25/2021;2960;USD;"WORK";386915;"Сдал на хранение до 31.10.2021. Договор Учителей-5553 от 25.04.2021";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/8/2021;960;USD;"WORK";386495;"Замена правого локера, крепление левого. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/4/2021;120;USD;"Replacement parts";386348;"скморезы в подкрылки. 5 шт по 24р. N91057001";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/4/2021;4113;USD;"Replacement parts";386348;"Решетка под противотуманку. Левая. 8k0807682a01c";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/4/2021;3985;USD;"Replacement parts";386348;"Решетка под противотуманку. Правая. 8k0807681A01c";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/4/2021;4907;USD;"Replacement parts";386348;"Подкрылок правый. 8k0821172q";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/4/2021;1508;USD;"Replacement parts";386348;"2 шт крепления для подкрылок. Один - 754. 8K0098629";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/31/2021;1;USD;"WORK";386150;"Замена лампы ближнего света. Левый";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/20/2021;486;USD;"Replacement parts";384000;"2 лампы накаливания на поворотник. Vag n10256407";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/17/2021;2030;USD;"Replacement parts";384000;"2 форсунки. Vag 4g8955987a и 4g8955988a";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/10/2021;600;USD;"Oil";383722;"Замена масла. Римэкс. Учителей";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/13/2020;4841;USD;"Replacement parts";382775;"Масло. liqui Moly 7661";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/13/2020;624;USD;"Replacement parts";382775;"Фильтр масляный.. VAG 071115562C";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/11/2020;2992;USD;"WORK";380775;"Сдал на хранение колеса до 30.04.2021. Договор Учителей-4795 от 11.10.2020";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/11/2020;1800;USD;"WORK";380775;"Замена резины лето-&gt;зима. Римэкс учителей. 7 тыс проехал на летней резине";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2020;600;USD;"WORK";380128;"Замена поликлинового ремня и обводного ролика, Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2020;600;USD;"WORK";380128;"Замена топливного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2020;120;USD;"WORK";380128;"Замена салонного фильтра, Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2020;120;USD;"WORK";380128;"Замена воздушного фильтра, Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2020;3600;USD;"WORK";380128;"Замена ремня ГРМ, Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2020;1459;USD;"Parking";380016;"Топливный фильтр VAG 8t0127401A";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2020;1488;USD;"Replacement parts";380016;"Фильтр салонный MANN FP2450";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2020;719;USD;"Replacement parts";380016;"Фильтр воздушный MANN C32130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2020;10540;USD;"Replacement parts";380016;"Комплект ремня ГРМ CONTITECH CT1134k1";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2020;5691;USD;"Replacement parts";380016;"Комплект ремня Поликлиновой SKF VKMA31127";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/15/2020;2400;USD;"WORK";376388;"Замена Коллектора с заслонкой. Ошибка ушла. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/11/2020;1;USD;"WORK";375963;"Замена заднего дворника";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/10/2020;649;USD;"Replacement parts";375883;"Щетка заднего стекла. VAG 8k9955425";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/10/2020;26690;USD;"Replacement parts";375883;"Дроссельная заслонка с крышкой коллектора. VAG 03L129711AG. Автодок";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
7/10/2020;10500;USD;"WORK";375880;"Окраска переднего левого крыла. Врум, переулок автоматики";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/26/2020;2880;USD;"WORK";373612;"Сдал на хранение колеса до 26.10.2020. Догоаор 4396 от 26.04.2020";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/26/2020;1800;USD;"WORK";373612;"Замена колес зима -> лето";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/11/2020;25700;USD;"WORK";373443;"Покраска задних крыльев, крышки багажника (пошла ржавчина). Vruum, на Автоматики 2.е. ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/2/2020;3649.6;USD;"Replacement parts";373218;"Официалы накидали: для замены кларана огр ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/2/2020;4320;USD;"WORK";373218;"Замена клапана ЕГР. Официальный сервис на бебеля";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/2/2020;17251;USD;"Replacement parts";373218;"Клапан системы циркуляции ОГ. Ауди на бебеля";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/2/2020;3780;USD;"WORK";373218;"Замена заднего моторчика стеклоочистителя. Сгнили провода, провода поменяли. Замена моторчика 1890. Кабеля - 1890";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/1/2020;9501;USD;"Replacement parts";373176;"Моторчик зпднего стеклоочистителя. Autodoc. VAG 4F9955711E";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/25/2019;600;USD;"WORK";371455;"Защита отвалилась. Пределали. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
12/25/2019;600;USD;"Oil";371455;"Замена масла-фильтра, Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/13/2019;960;USD;"Diagnostic";370262;"Диагностика - почему сдох генератор? Шкив сорвало, на замену. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/13/2019;2300;USD;"WORK";370262;"Генератор умер, меняли шкив. Ремонт генератора - 500 р, снятие установка - 1800. Премиум. Генератор ремонтировали в Транс-стартер. Гарантия 14 дней";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/13/2019;3500;USD;"Replacement parts";370262;"Шкиф в генератор- IK3.53331.1 (генератор Valeo TG14C020). Транс-стартер";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/4/2019;5300;USD;"WORK";370097;"Чистка клапана ЕГР: снятие-установка-1200, чистка - 2400, очистка карбюратора, спрей - 1714 рублей. Не помогло. Официалы на бебеля";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
11/4/2019;3500;USD;"Diagnostic";370097;"Диагностика клапана ЕГР (загорелась лампочка): ведомый поиск неисправностей - 2064, АКБ загружена - 240, ходовая часть - 1200. Результат: клапан рециркуляции ОГ 18 - неисправен. Порваны передние локера, порван сайлентблрк верхневого левого подруливающего ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/10/2019;1800;USD;"WORK";368205;"Замена резины лето->зима, Римэкс, усителей. Нужно менять 2 передних колеса, протектор 3 мм. Задние - новые, 2 тыс назпд куплены в Москве";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/10/2019;3104;USD;"WORK";368205;"Сдал летние шины на хранение. Римэкс, Учителей 3692 от 10.10.2019";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2019;1260;USD;"WORK";366150;"Замена двух задних шин на новые в Москве (Лето). Сервисный центр на Колесах";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/7/2019;9360;USD;"Replacement parts";366150;"Покупка 2 шин, michelin 205/55/r16 energy saver. Москва, 4680 за штуку. Закончилось немецкое колесо в Москве(";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2019;270;USD;"Replacement parts";358910;"Лампа передняя, Bosch longlife daytime h7";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/21/2019;80;USD;"Replacement parts";358910;"Лампы задние и стопаки. 8GA 008246-0001. 2 штуки";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2019;600;USD;"Oil";358690;"Замена масла-фильтра. Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/11/2019;3844;USD;"Replacement parts";358690;"Масло Liqui Moly 7661";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/11/2019;527;USD;"Replacement parts";358690;"Фильтр масляный VAG 071115562C";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/11/2019;662;USD;"Replacement parts";358690;"Фильтр воздушный MANN C32130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/11/2019;1369;USD;"Replacement parts";358690;"Фильтр салона антибактериальный MANN FP2450";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/17/2019;1;USD;"WORK";355610;"Замена аккумуляторной батареи";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
8/10/2019;17015;USD;"Replacement parts";354600;"Аккумулятор VARTA 605901095";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/28/2019;960;USD;"WORK";353888;"Замена тормозной жидкости. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/28/2019;960;USD;"WORK";353888;"Замена топливного фильтра. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/28/2019;3600;USD;"WORK";353888;"Замена передних амортизаторов. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/6/2019;1385;USD;"Replacement parts";353138;"Топливный фильтр, vag 8t0127401a";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/1/2019;856;USD;"Replacement parts";353138;"Пластиковая накладка, vag 4f088134801c";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/1/2019;760;USD;"Replacement parts";353138;"Тормозная жидкость, vag b000750m3. ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
6/1/2019;9920;USD;"Replacement parts";353138;"Амортизатор, передний, 2 шт. Sachs 313364";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/5/2019;1;USD;"WORK";349203;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/2/2019;200;USD;"Oil";348896;"Замена масла, фильтра. Helios, таллыкурган";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/25/2019;1680;USD;"WORK";346098;"Замена задних стоек, Премиум. Правая полностью вытекла, левая норм была";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/23/2019;7230;USD;"Replacement parts";346058;"Амортизаторы 2 шт х 3615. Sachs 313366. Автодок";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2019;2944;USD;"WORK";345941;"Сдал зимнюю резину на хранение. Римэкс, учителей до 20.10.2019. Договор 3169";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2019;1800;USD;"WORK";345941;"Смена резины зима->лето. Римэкс Учителей";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2019;1;USD;"WORK";345932;"Замена передних щеток на bosch";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/6/2019;1680;USD;"WORK";345630;"Замена шкива ГУР (240), установка передней панели в сервисное положение (1440)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/6/2019;480;USD;"Diagnostic";345630;"Диагностика ДВС. Клапан ЕГР один раз ошибку выдал. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;634;USD;"Replacement parts";345630;"Ремень поликлиновой dayco 6PK1580S";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;1419;USD;"Replacement parts";345630;"Фильтр салона FP2450 MANN";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;686;USD;"Replacement parts";345630;"Воздушный фильтр 	

C32130 MANN";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;521;USD;"Replacement parts";345630;"Фильтр маслянный 071115562C VAG";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;1375;USD;"Replacement parts";345630;"Ролик ГУР 06H145255E VAG";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/1/2019;4154;USD;"Oil";345630;"Масло 5 л 7661 LIQUI MOLY";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
3/30/2019;1428;USD;"Replacement parts";345630;"Щетки стеклоочистителя - bosch 3397007297";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
1/15/2019;960;USD;"Diagnostic";343000;"Свист из под капота на холостых. Результат: Замена шкива ГУР,Компрессора кондиционера, заменить поликлиновой ремень. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
10/6/2018;1710;USD;"WORK";337666;"Замена резины Лето-зима, Римэкс. 130 грамм ";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2018;600;USD;"WORK";330369;"Снятие/установка обивки двери. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2018;960;USD;"Diagnostic";330369;"Диагностика электронных систем центрального замка. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2018;2400;USD;"WORK";330369;"Поиск и устранение неисправности проводки: В задней левой двери переломлен провод центрального замка. Сделать скрутку и термоусадку. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
9/17/2018;1080;USD;"WORK";330369;"Замена передних тормозных дисков и колодок. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/28/2018;600;USD;"Oil";326263;"Замена масла-фильтра. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
5/28/2018;120;USD;"WORK";326263;"Замена лампы ближнего света, левая";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/21/2018;1;USD;"WORK";318340;"Замена воздушного фильтра";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;390;USD;"Replacement parts";318292;"Огнетушитель";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;290;USD;"Replacement parts";318303;"Лампа ближнего света borsch h7, прозапас";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;1615;USD;"WORK";318292;"Замена зима->лето, Римэкс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;660;USD;"Replacement parts";318310;"Воздушный фильтр, MANN C32130";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;1;USD;"WORK";318307;"Замена щеток передних";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;1171;USD;"Replacement parts";318307;"Фильтр салона угольный, Mann FP2450";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;1720;USD;"Replacement parts";318307;"Щетки пеедние, VAG 8K1998002A";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/20/2018;9832;USD;"Replacement parts";318292;"2  колеса 205/55/16, Michelin energy saver plus, kolesamarket";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/14/2018;1410;USD;"WORK";318062;"27 см трещина стекла, остановка трещина заделка отверстия.еарогласс";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/6/2018;1560;USD;"Diagnostic";317650;"Диагностика ДВС, подвески. Все норм. Премиум. Слышал шум роликов ГРМ. Не он";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/6/2018;360;USD;"WORK";317650;"Замена фильтра топливного. Машина начала глохнуть, стукнулся днищем и замял фильтр. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
4/6/2018;1130;USD;"Replacement parts";317650;"Топливный фильтр. Bosch f026402068";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/5/2018;1800;USD;"WORK";315159;"Снятие/установка генератора. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/5/2018;1440;USD;"WORK";315159;"Замена ступичного подшипника. Левый передний. Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/5/2018;1200;USD;"WORK";315159;"Ремонт генератора, подшипник,щетки. Транс стартер и Премиум";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/5/2018;4800;USD;"Replacement parts";315159;"Запчасти для генератора: Подшипник koyo 6202.2RS (400), подставка под подшипник Cg332583 (200), Шкив WA24-91303 (3100), Подшипник Koyo 6303.2RS (500), Коллектор Ik1.2020.0 (400), щетки IK0.1719.1 (200)";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
2/5/2018;4182;USD;"Replacement parts";315159;"Подшипник стцпичный SKF VKBA6649. Autodoc";"AUDI A4 Avant 2.0 TDI Komfort - 105.00kW [2009]"
