filename,liters,unitPrice,total,fuelKind,currency,station
receipt-036-tatneft-azs172-98-terminal-slip-ru.jpeg,25.00,99.99,2499.75,petrol98,RUB,
receipt-037-tatneft-azs172-98-vat22-qr-ru.jpeg,25.00,99.99,2499.75,petrol98,RUB,tatneft
receipt-038-circlek-sikupilli-95e0-pump8-ee.jpg,45.22,1.754,79.32,petrol95,EUR,circle k
receipt-039-circlek-sikupilli-zero-volume-pump7-ee.jpg,,1.744,,,EUR,circle k
receipt-040-gpn-okulovka-gdrive95-fuelcard-ru.jpg,57.000,71.18,4057.26,petrol95,RUB,gazpromneft
receipt-041-zolotaya-seredina-tver-95-fuelcard-ru.jpg,54.000,68.44,3695.76,petrol95,RUB,
receipt-042-circlek-jarvevana-tallinn-db0-pump7-ee.jpg,87.290,1.839,160.53,diesel,EUR,circle k
receipt-043-artemovsk-gazservis-95-vat22-watermark-ru.jpg,40.00,120.00,4800.00,petrol95,RUB,artemovsk gazservis|gazservis
receipt-044-rn-tver-chkalovskaya-95-nonfiscal-terminal-slip-ru.jpeg,25.00,68.30,1707.50,petrol95,RUB,rn
receipt-045-circlek-jarvevana-pump7-db0-2694l-ee.jpg,26.94,1.919,51.71,diesel,EUR,circle k
receipt-046-circlek-sikupilli-pump5-db0-5580l-ee.jpg,55.80,1.799,100.38,diesel,EUR,circle k
receipt-047-gazpromneft-edrovo-gdrive95-fuelcard-pair-ru.jpeg,53.00,71.05,3765.65,petrol95,RUB,gazpromneft
receipt-048-rn-tver-budovo-95-nonfiscal-terminal-slip-pair-ru.jpeg,15.00,69.50,1042.50,petrol95,RUB,rn
receipt-049-circlek-jarvevana-pump4-95miles-4837l-pair-ee.jpg,48.37,2.059,99.59,petrol95,EUR,circle k
receipt-050-circlek-jarvevana-pump7-db0-7070l-rotated90-pair-ee.jpg,70.70,2.099,148.40,diesel,EUR,circle k
receipt-051-gazpromneft-tver-gdrive95-fuelcard-rotated180-ru.jpg,30.000,69.62,2088.60,petrol95,RUB,gazpromneft
receipt-052-gazpromneft-tver-gdrive95-fuelcard-pair-ru.jpeg,32.000,70.31,2249.92,petrol95,RUB,gazpromneft
receipt-053-gpn-tver-95-ru.jpg,29.000,68.44,1984.76,petrol95,RUB,
receipt-054-circlek-tallinn-95-et.jpg,46.24,1.934,89.43,petrol95,EUR,circle k
receipt-055-circlek-tallinn-98-discount-et.jpg,77.56,1.934,150.00,petrol98,EUR,circle k
receipt-056-circlek-tallinn-zero-et.jpg,0.00,1.884,0.00,petrol95,EUR,circle k
receipt-057-gpn-valday-95-occluded-ru.jpg,57.000,69.05,3935.85,petrol95,RUB,
receipt-058-circlek-peetri-98e0-pump7-4353l-ee.jpg,43.53,1.969,85.71,petrol98,EUR,circle k
receipt-059-circlek-peetri-db0-pump5-768l-night-wet-ee.jpg,7.68,1.989,15.28,diesel,EUR,circle k
receipt-060-gazpromneft-azs12089-95-fuelcard-pair-ru.jpeg,21.000,68.44,1437.24,petrol95,RUB,gazpromneft
receipt-061-gazpromneft-okulovka-azs1010-gdrive95-fuelcard-pair-ru.jpeg,42.000,71.18,2989.56,petrol95,RUB,gazpromneft
receipt-062-rn-tver-chkalovskaya-95firm-3000l-nonfiscal-terminal-slip-pair-ru.jpeg,30.00,71.30,2139.00,petrol95,RUB,rn
receipt-063-rn-tver-chkalovskaya-95firm-1000l-nonfiscal-terminal-slip-pair-ru.jpeg,10.00,71.30,713.00,petrol95,RUB,rn
receipt-064-circlek-peetri-db0-pump5-2307l-pair-ee.jpg,23.07,1.944,44.85,diesel,EUR,circle k
receipt-065-rn-tver-tc252-95firm-2000l-nonfiscal-terminal-slip-pair-ru.jpeg,20.00,71.30,1426.00,petrol95,RUB,rn
receipt-066-circlek-jarvevana-db0-pump4-6404l-pair-ee.jpg,64.04,2.024,129.62,diesel,EUR,circle k
receipt-067-circlek-sikupilli-95e0-pump1-2650l-pair-ee.jpg,26.50,1.949,51.65,petrol95,EUR,circle k
receipt-068-rn-tver-azk15-95-3000l-nonfiscal-terminal-slip-sideways-pair-ru.jpeg,30.00,68.30,2049.00,petrol95,RUB,rn
receipt-069-rn-tver-azk15-95k5-3000l-nonfiscal-order-slip-sideways-pair-ru.jpeg,30.00,68.30,2049.00,petrol95,RUB,rn
receipt-070-gazpromneft-edrovo-azs10031-gdrive95-fuelcard-pair-ru.jpeg,48.000,71.05,3410.40,petrol95,RUB,gazpromneft
receipt-071-gazpromneft-gdrive95-fuelcard-header-cut-pair-ru.jpeg,42.000,70.31,2953.02,petrol95,RUB,gazpromneft
receipt-072-rn-tver-chkalovskaya-95firm-1500l-nonfiscal-terminal-slip-pair-ru.jpeg,15.00,71.30,1069.50,petrol95,RUB,rn
receipt-073-rn-tver-chkalovskaya-pulsar95-1500l-nonfiscal-order-slip-pair-ru.jpeg,15.00,71.30,1069.50,petrol95,RUB,rn
receipt-074-circlek-sikupilli-98miles-pump7-1517l-pair-ee.jpg,15.17,1.979,30.02,petrol98,EUR,circle k
receipt-075-circlek-sikupilli-98miles-pump8-2786l-pair-ee.jpg,27.86,1.979,55.13,petrol98,EUR,circle k
receipt-076-rosneft-vostoknefteprodukt-92-cash-third-party-ru.jpg,49.59,,1576.96,petrol92,RUB,rosneft
receipt-077-totalenergies-kalken-excel-diesel-card-third-party-be.jpg,22.10,1.810,40.00,diesel,EUR,total|totalenergies
receipt-078-kiselev-independent-92-ten-litres-two-receipts-third-party-ru.jpg,10.00,59.00,590.00,petrol92,RUB,kiselev
receipt-079-tatneft-transazs-mkad-92-mir-ru.jpg,55.00,94.40,5192.00,petrol92,RUB,tatneft
receipt-080-alfaoil-gazpromneft-33088-92-folded-unrolled-ru.jpg,30.090,62.37,1876.71,petrol92,RUB,alfa oyl|gazpromneft
receipt-081-gazpromneft-alfaoil-33088-92-hand-ru.jpg,39.720,62.37,2477.34,petrol92,RUB,gazpromneft
receipt-082-lukoil-centrnefteprodukt-kievskoe-ekto95-discount-ru.jpg,25.00,67.40,1685.00,petrol95,RUB,lukoil|lukoyl
receipt-083-circlek-peetri-pump1-d-b0-miles-4325l-2099-ee.jpg,43.25,2.099,90.78,diesel,EUR,circle k|circlek
receipt-084-circlek-peetri-pump3-d-b0-miles-2143l-2099-pair-ee.jpg,21.43,2.099,44.98,diesel,EUR,circle k|circlek
receipt-085-circlek-peetri-pump5-98miles-1790l-1959-discount-pair-ee.jpg,17.90,1.959,35.07,petrol98,EUR,circle k|circlek
receipt-086-circlek-peetri-night-pump4-95eo-miles-3497l-1999-pair-ee.jpg,34.97,1.999,69.91,petrol95,EUR,circle k|circlek
receipt-087-circlek-peetri-night-pump3-98eo-miles-800l-2059-pair-ee.jpg,8.00,2.059,16.47,petrol98,EUR,circle k|circlek
receipt-088-circlek-sikupilli-pump7-d-b0-miles-4089l-2199-pair-ee.jpg,40.89,2.199,89.92,diesel,EUR,circle k|circlek
receipt-089-circlek-jarvevana-pump2-95eo-miles-1479l-2024-pair-ee.jpg,14.79,2.024,29.93,petrol95,EUR,circle k|circlek
receipt-090-total-frisange-excellium98-5124l-1068-lu.jpg,51.24,1.068,54.72,petrol98,EUR,total|totalenergies
receipt-091-aral-merl-ultimate102-4450l-1264-german-lu.jpg,44.50,1.264,56.25,petrol100,EUR,aral
receipt-092-total-frisange-excellium98-4500l-1134-lu.jpg,45.00,1.134,51.03,petrol98,EUR,total|totalenergies
receipt-093-totalenergies-stmichel-two-tickets-e85-sp95e10-1851l-1645-fr.jpg,18.51,1.645,30.45,petrol95,EUR,total|totalenergies
receipt-094-aral-bettembourg-ultimate102-4975l-1582-kopie-lu.jpg,49.75,1.582,78.70,petrol100,EUR,aral
receipt-095-leclerc-chambly-gazole-5210l-1689-pen-marks-fr.jpg,52.10,1.689,88.00,diesel,EUR,e.leclerc|leclerc
receipt-096-unknown-gazole-3463l-1843-no-total-cropped-fr.jpg,34.63,1.843,,diesel,EUR,
receipt-097-totalenergies-cotesaintandre-dieselexc-3843l-2250-avantage-highlighter-fr.jpg,38.43,2.250,86.47,diesel,EUR,total|totalenergies
receipt-098-circlek-sikupilli-db0-pump8-1400l-2144-extra-soodus-sideways-high1080-pair-ee.jpg,14.00,2.144,30.02,diesel,EUR,circle k
