filename,liters,unitPrice,total,fuelKind,currency
pump-049-gilbarco-circlek-ee-faint-lcd-small-fill.jpg,5.81,1.889,10.98,,EUR
pump-050-gilbarco-circlek-ee-1929.jpg,10.54,1.929,20.33,,EUR
pump-051-wayne-circlek-ee-fourprice-none-matches.jpg,15.61,,30.42,,EUR
pump-052-wayne-circlek-ee-glare-total-lost.jpg,34.64,,,,EUR
pump-053-wayne-circlek-ee-pump1-glare-total-digit.jpg,38.88,,,,EUR
pump-054-wayne-circlek-jarvevana-pump7-diesel-flare.jpg,26.94,1.919,51.71,diesel,EUR
pump-055-wayne-circlek-ee-liitrid-variant.jpg,56.05,,108.68,,EUR
pump-056-wayne-circlek-ee-preset-72eur.jpg,38.32,,72.00,,EUR
pump-057-gilbarco-circlek-sikupilli-pump5-db0-pair.jpg,55.80,1.799,100.38,diesel,EUR
pump-058-gilbarco-circlek-ee-dirty-lcd-1969.jpg,20.02,1.969,39.42,,EUR
pump-059-gilbarco-circlek-ee-pump3-1899.jpg,54.23,1.899,102.98,,EUR
pump-060-gilbarco-circlek-ee-1894.jpg,48.75,1.894,92.33,,EUR
pump-061-wayne-circlek-ee-discount-below-board.jpg,33.84,,62.40,,EUR
pump-062-wayne-circlek-ee-pump8-1894.jpg,20.88,1.894,39.55,,EUR
pump-063-wayne-circlek-ee-insect-on-price-display.jpg,7.17,1.834,13.15,,EUR
pump-064-wayne-circlek-ee-4645l-1834.jpg,46.45,1.834,85.19,,EUR
pump-065-tokheim-gazpromneft-edrovo-truncated-total-pair-ru.jpeg,53.00,71.05,3765.65,petrol95,RUB
pump-066-rn-tver-budovo-95-exact-total-pair-ru.jpeg,15.00,69.50,1042.50,petrol95,RUB
pump-067-circlek-jarvevana-95miles-4837l-glare-pair-ee.jpg,48.37,2.059,99.59,petrol95,EUR
pump-068-circlek-jarvevana-dmiles-7070l-pair-ee.jpg,70.70,2.099,148.40,diesel,EUR
pump-069-circlek-gilbarco-2914l-rotated90-ee.jpg,29.14,2.059,60.00,,EUR
pump-070-circlek-gilbarco-3494l-ee.jpg,34.94,1.919,67.05,,EUR
pump-071-circlek-gilbarco-1898l-midsegment-ee.jpg,18.98,2.109,40.03,,EUR
pump-072-circlek-wayne-1001l-loyalty-price-off-board-ee.jpg,10.01,1.894,18.96,,EUR
pump-073-wayne-gazpromneft-tver-truncated-total-pair-ru.jpeg,32.00,70.31,2249.92,petrol95,RUB
pump-074-gpn-tver-95-ru.jpg,29.00,68.44,,,RUB
pump-075-gilbarco-circlek-ee-95.jpg,46.24,1.934,89.43,,EUR
pump-076-gilbarco-circlek-ee-preset-150.jpg,77.56,1.934,150.00,,EUR
pump-077-gilbarco-ee-2054.jpg,24.54,2.054,50.41,,EUR
pump-078-gilbarco-circlek-peetri-pump7-3143l-ee.jpg,31.43,1.909,60.00,,EUR
pump-079-gilbarco-circlek-peetri-6900l-ee.jpg,69.00,1.969,135.86,,EUR
pump-080-gilbarco-circlek-peetri-1039l-ee.jpg,10.39,1.939,20.15,,EUR
pump-081-gilbarco-circlek-peetri-pump3-2496l-ee.jpg,24.96,1.969,49.15,,EUR
pump-082-gilbarco-circlek-peetri-1315l-ee.jpg,13.15,1.909,25.10,,EUR
pump-083-tokheim-gazpromneft-azs12089-truncated-total-pair-ru.jpeg,21.00,68.44,1437.20,petrol95,RUB
pump-084-dresser-wayne-gpn-okulovka-exact-total-pair-ru.jpeg,42.00,71.18,2989.56,petrol95,RUB
pump-085-tokheim-rn-tver-chkalovskaya-3000l-pair-ru.jpeg,30.00,71.30,2139.00,,RUB
pump-086-tokheim-rn-tver-chkalovskaya-1000l-pair-ru.jpeg,10.00,71.30,713.00,,RUB
pump-087-scheidt-bachmann-rn-3000l-6830-reflection-a-ru.jpeg,30.00,68.30,2049.00,,RUB
pump-088-scheidt-bachmann-rn-3000l-6830-reflection-b-ru.jpeg,30.00,68.30,2049.00,,RUB
pump-089-scheidt-bachmann-rn-1500l-6830-ru.jpeg,15.00,68.30,1024.50,,RUB
pump-090-scheidt-bachmann-rn-3000l-6830-reflection-c-ru.jpeg,30.00,68.30,2049.00,,RUB
pump-091-scheidt-bachmann-rn-2000l-7135-labels-cropped-ru.jpeg,20.00,71.35,1427.00,,RUB
pump-092-scheidt-bachmann-rn-3000l-6385-ru.jpeg,30.00,63.85,1915.50,,RUB
pump-093-scheidt-bachmann-rn-2000l-6385-faded-ru.jpeg,20.00,63.85,1277.00,,RUB
pump-094-gilbarco-circlek-ee-4325l-1944.jpg,43.25,1.944,84.08,,EUR
pump-095-gilbarco-circlek-peetri-pump5-2307l-pair-ee.jpg,23.07,1.944,44.85,,EUR
pump-096-tokheim-rn-tver-tc252-2000l-pair-ru.jpeg,20.00,71.30,1426.00,,RUB
pump-097-dresser-wayne-circlek-ee-2285l-1899.jpg,22.85,1.899,43.39,,EUR
pump-098-dresser-wayne-circlek-ee-969l-2039.jpg,9.69,2.039,19.76,,EUR
pump-099-dresser-wayne-circlek-ee-pump1-1064l-1899.jpg,10.64,1.899,20.21,,EUR
pump-100-dresser-wayne-circlek-jarvevana-pump4-6404l-2024-pair-ee.jpg,64.04,2.024,129.62,,EUR
pump-101-gilbarco-circlek-ee-1765l-2034-closeup.jpg,17.65,2.034,35.90,,EUR
pump-102-gilbarco-circlek-ee-1022l-1954.jpg,10.22,1.954,19.97,,EUR
pump-103-gilbarco-circlek-ee-4858l-1954.jpg,48.58,1.954,94.93,,EUR
pump-104-gilbarco-circlek-sikupilli-pump1-2650l-price-washed-pair-ee.jpg,26.50,1.949,51.65,,EUR
pump-105-gilbarco-circlek-ee-2555l-1899.jpg,25.55,1.899,48.52,,EUR
pump-106-wayne-gazpromneft-gdrive95-5100l-7031-truncated-total-ru.jpeg,51.00,70.31,3585.80,,RUB
pump-107-scheidt-bachmann-rn-tver-azk15-3000l-6830-night-zero-padded-pair-ru.jpeg,30.00,68.30,2049.00,,RUB
pump-108-scheidt-bachmann-rn-3249l-6830-reflection-ru.jpeg,32.49,68.30,2219.10,,RUB
pump-109-tokheim-gazpromneft-edrovo-4800l-7105-pair-ru.jpeg,48.00,71.05,3410.40,,RUB
pump-110-wayne-gazpromneft-gdrive95-4200l-7031-truncated-total-pair-ru.jpeg,42.00,70.31,2953.00,,RUB
pump-111-gilbarco-circlek-ee-5046l-1999.jpg,50.46,1.999,100.87,,EUR
pump-112-gilbarco-circlek-ee-461l-2199.jpg,4.61,2.199,10.14,,EUR
pump-113-gilbarco-circlek-ee-522l-2014.jpg,5.22,2.014,10.51,,EUR
pump-114-gilbarco-circlek-ee-6987l-2074-price-glare.jpg,69.87,2.074,144.91,,EUR
pump-115-gilbarco-circlek-sikupilli-pump7-98miles-1517l-1979-pair-ee.jpg,15.17,1.979,30.02,,EUR
pump-116-gilbarco-circlek-sikupilli-pump8-98miles-2786l-1979-pair-ee.jpg,27.86,1.979,55.13,,EUR
pump-117-wayne-alexela-98-press-err-third-party-ee.jpg,52.65,2.165,113.99,,EUR
pump-118-wayne-circlek-98-glare-total-instagram-third-party-ee.jpg,43.23,2.079,89.88,,EUR
pump-119-wayne-circlek-95miles-1369-drive2-third-party-ee.jpg,43.52,1.369,59.58,,EUR
pump-120-wayne-circlek-four-prices-drive2-third-party-ee.jpg,41.03,1.369,56.17,,EUR
pump-121-wayne-neste-1422-drive2-third-party-ee.jpg,39.77,1.422,56.55,,EUR
pump-122-wayne-circlek-98milesplus-1419-drive2-third-party-ee.jpg,39.56,1.419,56.14,,EUR
pump-123-unknown-comma-1911-drive2-third-party-ru.jpg,41.70,45.84,1911.53,,RUB
pump-124-unknown-zero-padded-comma-price-cut-drive2-third-party-ru.jpg,40.12,44.95,1803.39,,RUB
pump-125-wayne-circlek-price-out-of-frame-drive2-third-party-ee.jpg,41.36,,59.52,,EUR
pump-126-gilbarco-circlek-zero-padded-price-out-of-frame-drive2-third-party-ee.jpg,40.57,,56.76,,EUR
pump-127-wayne-idle-zero-three-prices-lounaleht-third-party-ee.jpg,0.00,,0.00,,EUR
pump-128-wayne-gazpromneft-idle-zero-five-prices-third-party-ru.jpg,0.00,,0.00,,RUB
pump-129-wayne-circlek-98milesplus-1402-third-party-ee.jpg,38.39,1.402,53.82,,EUR
pump-130-wayne-1000-rub-six-cells-third-party-ru.jpg,10.42,95.99,1000.22,,RUB
pump-131-wayne-circlek-forecourt-far-display-third-party-lt.jpg,32.66,1.478,48.27,,EUR
pump-132-wayne-circlek-1399-third-party-lt.jpg,18.40,1.399,25.74,,EUR
pump-133-wayne-circlek-total-cut-at-top-four-prices-third-party-ee.jpg,22.57,1.339,30.22,,EUR
pump-134-tokheim-kronur-5000-third-party-is.jpg,21.45,233.1,5000,,ISK
pump-135-tokheim-manat-tiny-display-third-party-tm.jpg,14.08,1.50,,,TMT
pump-136-wayne-kroner-717-third-party-no.jpg,50.76,14.14,717.75,,NOK
pump-137-wayne-pence-this-sale-third-party-gb.jpg,52.30,1.828,95.60,,GBP
pump-138-wayne-talvine-monochrome-no-price-third-party-ee.jpg,11.77,,20.23,,EUR
pump-139-wayne-euro-1613-third-party-fr.jpg,64.40,1.613,103.88,,EUR
pump-140-wayne-circlek-1849-rounding-third-party-lt.jpg,33.69,,62.30,,EUR
pump-141-wayne-kronor-957-price-cut-left-third-party-se.jpg,38.98,24.57,957.74,,SEK
pump-142-wayne-1600-not-closing-third-party-ru.jpg,48.49,33.00,,,RUB
pump-143-wayne-3921-95-third-party-ru.jpg,93.15,42.10,3921.62,,RUB
pump-144-wayne-alexela-98-same-fill-as-117-wider-third-party-ee.jpg,52.65,2.165,113.99,,EUR
pump-145-tokheim-pence-comma-stock-photo-third-party-gb.jpg,28.60,1.629,46.59,,GBP
pump-146-wayne-gazpromneft-1100-92-third-party-ru.jpg,25.12,43.80,1100.26,,RUB
pump-147-wayne-eur-1494-third-party-ee.jpg,44.29,1.494,66.17,,EUR
pump-148-wayne-1634-95-third-party-ru.jpg,24.46,66.83,1634.66,,RUB
pump-149-wayne-circlek-diesel-1272-third-party-ee.jpg,76.38,1.272,97.16,,EUR
pump-150-wayne-euroa-four-prices-glare-third-party-fi.jpg,16.20,1.454,23.55,,EUR
pump-151-gilbarco-circlek-zero-padded-2044-graphic-overlay-third-party-ee.jpg,45.64,2.044,93.29,,EUR
pump-152-wayne-305-third-party-ru.jpg,6.73,45.45,305.88,,RUB
pump-153-gilbarco-veeder-root-keypad-three-prices-third-party-ru.jpg,46.97,66.30,3114.11,,RUB
pump-154-gilbarco-veeder-root-keypad-1494-third-party-ru.jpg,30.02,49.79,1494.70,,RUB
pump-155-gilbarco-veeder-root-keypad-four-prices-third-party-ru.jpg,60.01,50.91,3055.11,,RUB
pump-156-gilbarco-veeder-root-keypad-backlit-three-prices-third-party-ru.jpg,23.95,39.00,934.05,,RUB
pump-157-gilbarco-veeder-root-ladder-cut-left-third-party-ru.jpg,44.80,39.00,1747.20,,RUB
pump-158-gilbarco-veeder-root-wet-9900-one-decimal-third-party-ru.jpg,146.84,67.42,9899.95,,RUB
pump-159-gilbarco-veeder-root-preset-20-litres-third-party-ru.jpg,20.00,96.64,1932.80,,RUB
pump-160-gilbarco-veeder-root-zero-padded-not-closing-third-party-ru.jpg,,61.79,,,RUB
pump-161-gilbarco-veeder-root-tv-still-800px-third-party-ru.jpg,24.38,66.44,,,RUB
pump-162-gilbarco-veeder-root-backlit-four-prices-666-third-party-ru.jpg,14.19,46.96,666.36,,RUB
pump-163-wayne-keypad-1997-92-third-party-ru.jpg,41.00,48.73,1997.93,,RUB
pump-164-wayne-keypad-diesel-glare-total-third-party-ru.jpg,46.74,61.92,2894.14,,RUB
pump-165-gilbarco-veeder-root-four-prices-680px-third-party-ru.jpg,78.41,45.94,3602.16,,RUB
pump-166-gilbarco-veeder-root-angled-watermark-third-party-ru.jpg,15.12,67.08,1014.25,,RUB
pump-167-gilbarco-veeder-root-shell-zero-padded-third-party-ru.jpg,42.77,52.59,2249.27,,RUB
pump-168-gilbarco-veeder-root-lukoil-zero-padded-four-prices-third-party-ru.jpg,22.51,66.66,1500.52,,RUB
pump-169-gilbarco-veeder-root-total-not-closing-video-still-third-party-ru.jpg,130.72,39.90,,,RUB
pump-170-gilbarco-veeder-root-teboil-zero-padded-preset-11-litres-third-party-ru.jpg,11.00,50.99,560.89,,RUB
pump-171-gilbarco-veeder-root-night-two-prices-third-party-ru.jpg,39.14,72.65,2843.52,,RUB
pump-172-gilbarco-veeder-root-lukoil-point-decimals-576px-third-party-ru.jpg,59.99,57.99,3478.82,,RUB
pump-173-gilbarco-veeder-root-cents-per-litre-tilted-third-party-au.jpg,158.95,2.559,406.75,,AUD
pump-174-wayne-keypad-lukoil-ekto-diesel-680px-third-party-ru.jpg,68.80,41.20,2834.56,,RUB
pump-175-gilbarco-veeder-root-zero-padded-189-third-party-ru.jpg,42.53,189.00,8038.17,,RUB
pump-176-gilbarco-veeder-root-5388-diesel-third-party-ru.jpg,61.21,88.04,5388.93,,RUB
pump-177-gilbarco-veeder-root-leva-640px-third-party-bg.jpg,6.89,1.45,9.99,,BGN
pump-178-gilbarco-veeder-root-forecourt-far-670px-third-party-ru.jpg,50.00,,,,RUB
pump-179-gilbarco-veeder-root-lukoil-winter-four-prices-third-party-ru.jpg,65.68,53.80,3533.58,,RUB
pump-180-gilbarco-veeder-root-cents-per-litre-portrait-third-party-au.jpg,20.76,2.159,44.82,,AUD
pump-181-gilbarco-veeder-root-preset-20-litres-577px-third-party-ru.jpg,20.00,52.10,1042.00,,RUB
pump-182-wayne-pignone-belarus-rubles-third-party-by.jpg,47.60,1.65,78.54,,BYN
pump-183-gilbarco-veeder-root-through-car-window-third-party-ru.jpg,,,,,RUB
pump-184-gilbarco-veeder-root-three-prices-1280x576-third-party-ru.jpg,37.13,63.41,2354.41,,RUB
pump-185-gilbarco-veeder-root-cents-per-litre-four-grades-third-party-au.jpg,71.53,1.412,101.00,,AUD
pump-186-tatsuno-amber-led-night-third-party-ru.jpg,22.01,40.30,887.00,,RUB
pump-187-tatsuno-amber-led-night-preset-20-third-party-ru.jpg,20.00,43.80,876.00,,RUB
pump-188-wayne-pignone-preset-20-third-party-ru.jpg,20.00,47.08,941.60,,RUB
pump-189-gilbarco-veeder-root-point-decimals-preset-20-third-party-ru.jpg,20.00,42.91,858.20,,RUB
pump-190-tokheim-tenge-fog-third-party-kz.jpg,49.66,145.0,7200.7,,KZT
pump-191-tokheim-preset-500-rub-one-decimal-third-party-ru.jpg,10.00,50.00,500.0,,RUB
pump-192-tokheim-3602-one-decimal-reflection-third-party-ru.jpg,63.65,56.59,3602.0,,RUB
pump-193-tokheim-3686-one-decimal-reflection-third-party-ru.jpg,65.15,56.59,3686.8,,RUB
pump-194-tokheim-4968-dusk-third-party-ru.jpg,96.47,51.50,4968.21,,RUB
pump-195-tokheim-lukoil-night-481-third-party-ru.jpg,10.63,45.25,481.01,,RUB
pump-196-tokheim-lukoil-snow-night-1895-third-party-ru.jpg,49.35,38.40,1895.04,,RUB
pump-197-tokheim-amber-backlight-lamp-glare-third-party-ru.jpg,57.55,63.10,3631.4,,RUB
pump-198-tokheim-lukoil-426-reflection-third-party-ru.jpg,7.15,59.64,426.43,,RUB
pump-199-tokheim-1630-large-cells-third-party-ru.jpg,30.09,54.20,1630.88,,RUB
pump-200-tokheim-preset-990-litres-cash-litres-keypad-third-party-ru.jpg,99.00,52.85,5232.15,,RUB
pump-201-tokheim-belarus-night-third-party-by.jpg,24.97,2.60,64.92,,BYN
pump-202-tokheim-preset-1000-rub-one-decimal-night-third-party-ru.jpg,25.70,38.92,1000.2,,RUB
pump-203-unknown-three-rows-photographer-reflection-third-party-ru.jpg,44.75,21.47,960.78,,RUB
pump-204-tokheim-bashneft-small-display-third-party-ru.jpg,24.76,65.65,1625.49,,RUB
pump-205-tokheim-364-tilted-third-party-ru.jpg,7.94,45.90,364.45,,RUB
pump-206-tokheim-1499-one-decimal-blur-third-party-ru.jpg,40.87,36.7,1499.9,,RUB
pump-207-dresser-wayne-summa-1136-third-party-ru.jpg,31.55,36.02,1136.43,,RUB
pump-208-gilbarco-veeder-root-night-rain-price-dim-third-party-ru.jpg,97.07,,4816.61,,RUB
pump-209-wayne-pesos-three-decimal-litres-third-party-ph.jpg,46.749,73.80,3450.08,,PHP
pump-210-wayne-pignone-gazpromneft-summa-1610-third-party-ru.jpg,31.40,51.30,1610.82,,RUB
pump-211-wayne-reais-three-grades-600px-third-party-br.jpg,7.63,3.897,29.73,,BRL
pump-212-dresser-wayne-circlek-diesel-6300l-2069-ee.jpg,63.00,2.069,130.35,,EUR
pump-213-gilbarco-circlek-zero-padded-6300l-1789-ee.jpg,63.00,1.789,112.71,,EUR
pump-214-gilbarco-veederroot-6714l-5181-rubles-ru.jpg,67.14,51.81,3478.52,,RUB
pump-215-gilbarco-veederroot-lukoil-zero-padded-1511l-5358-board-ru.jpg,15.11,53.58,809.59,,RUB
pump-216-gilbarco-veederroot-night-2000l-5210-ru.jpg,20.00,52.10,1042.00,,RUB
pump-217-gilbarco-veederroot-cents-per-litre-e85-19689l-1409-au.jpg,196.89,1.409,277.42,,AUD
pump-218-unknown-tkk-diesel-glare-6975-ru.jpg,,69.75,,,RUB
pump-219-gilbarco-veederroot-zero-padded-3000l-6616-ru.jpg,30.00,66.16,1984.80,,RUB
pump-220-topaz-gdrive-gazpromneft-dusk-4590l-6561-ru.jpg,45.90,65.61,3011.50,,RUB
pump-221-topaz-gazpromneft-postpay-3824l-5965-ru.jpg,38.24,59.65,2281.02,,RUB
pump-222-topaz-gazpromneft-trucks-mid-count-1788l-6039-ru.jpg,17.88,60.39,1078.38,,RUB
pump-223-gilbarco-gdrive-board-glare-5503l-5220-ru.jpg,55.03,52.20,2872.57,,RUB
pump-224-topaz-gazprom-truck-71428l-4900-ru.jpg,714.28,49.00,34999.72,,RUB
pump-225-topaz-gazpromneft-reflection-4901l-6922-ru.jpg,49.01,69.22,3392.47,,RUB
pump-226-topaz-service-mode-no-fill-ru.jpg,,,,,RUB
pump-227-topaz-gdrive-dusk-4682l-6900-third-party-ru.jpg,46.82,69.00,3230.58,,RUB
pump-228-topaz-deko-321l-7800-ru.jpg,3.21,78.00,250.38,,RUB
pump-229-wayne-gazpromneft-board-price-4000l-4245-ru.jpg,40.00,42.45,1698.00,,RUB
pump-230-topaz-gazpromneft-taxi-3617l-6537-ru.jpg,36.17,65.37,2364.43,,RUB
pump-231-topaz-gdrive-video-frame-3707l-6959-third-party-ru.jpg,37.07,69.59,2579.70,,RUB
pump-232-tokheim-gdrive-one-decimal-total-2046l-4775-ru.jpg,20.46,47.75,977.00,,RUB
pump-233-topaz-autumn-3349l-7570-ru.jpg,33.49,75.70,2535.19,,RUB
pump-234-topaz-clip-frame-590l-6941-third-party-ru.jpg,5.90,69.41,409.52,,RUB
pump-235-wayne-gdrive-night-board-price-1475l-243-by.jpg,14.75,2.43,35.84,,BYN
pump-236-wayne-gazpromneft-night-snow-6500l-4625-ru.jpg,65.00,46.25,3006.25,,RUB
pump-237-tokheim-omsk-2062l-4850-ru.jpg,20.62,48.50,1000.07,,RUB
pump-238-gilbarco-veederroot-three-decimal-price-3970l-1809-fr.jpg,39.70,1.809,71.82,,EUR
pump-239-wayne-gdrive-board-price-854l-3515-ru.jpg,8.54,35.15,300.18,,RUB
pump-240-gilbarco-veederroot-lukoil-9000l-5215-ru.jpg,90.00,52.15,4693.50,,RUB
pump-241-wayne-pignone-dm3-528l-469-pl.jpg,5.28,4.69,24.76,,PLN
pump-242-wayne-neste-2461-1313l-board-ee.jpg,13.13,,24.61,,EUR
pump-243-wayne-neste-2461-1313l-board-second-angle-ee.jpg,13.13,,24.61,,EUR
pump-244-wayne-neste-5225-2788l-board-reflection-ee.jpg,27.88,,52.25,,EUR
pump-245-gilbarco-circlek-peetri-pump2-4419l-1919-ee.jpg,44.19,1.919,84.80,,EUR
pump-246-gilbarco-circlek-peetri-pump2-4419l-1919-second-angle-ee.jpg,44.19,1.919,84.80,,EUR
pump-247-gilbarco-circlek-peetri-pump1-3647l-1919-ee.jpg,36.47,1.919,69.99,,EUR
pump-248-gilbarco-circlek-peetri-pump3-2143l-2099-pair-ee.jpg,21.43,2.099,44.98,,EUR
pump-249-gilbarco-circlek-peetri-pump3-2143l-2099-pair-close-ee.jpg,21.43,2.099,44.98,,EUR
pump-250-gilbarco-circlek-peetri-pump7-3590l-2099-ee.jpg,35.90,2.099,75.35,,EUR
pump-251-gilbarco-circlek-peetri-pump7-3590l-2099-close-ee.jpg,35.90,2.099,75.35,,EUR
pump-252-gilbarco-circlek-peetri-pump8-3242l-2099-ee.jpg,32.42,2.099,68.05,,EUR
pump-253-gilbarco-circlek-peetri-pump5-98miles-1790l-1959-glare-pair-ee.jpg,17.90,1.959,35.07,,EUR
pump-254-gilbarco-circlek-peetri-pump9-adblue-375l-0959-ee.jpg,3.75,0.959,3.60,,EUR
pump-255-gilbarco-circlek-peetri-pump6-2001l-2099-ee.jpg,20.01,2.099,42.00,,EUR
pump-256-gilbarco-circlek-peetri-pump6-1520l-2099-off-by-a-cent-ee.jpg,15.20,2.099,31.91,,EUR
pump-257-gilbarco-circlek-peetri-pump7-2032l-price-glare-ee.jpg,20.32,,38.69,,EUR
pump-258-gilbarco-circlek-peetri-pump4-3506l-1919-ee.jpg,35.06,1.919,67.28,,EUR
pump-259-gilbarco-circlek-peetri-pump8-6286l-2099-ee.jpg,62.86,2.099,131.94,,EUR
pump-260-wayne-circlek-pump5-1000l-board-ee.jpg,10.00,,20.99,,EUR
pump-261-wayne-circlek-pump5-1000l-board-oblique-ee.jpg,10.00,,20.99,,EUR
pump-262-wayne-circlek-pump2-1723l-board-ee.jpg,17.23,,36.17,,EUR
pump-263-wayne-circlek-pump4-closed-text-negative-ee.jpg,,,,,EUR
pump-264-wayne-circlek-pump4-2887l-board-ee.jpg,28.87,,55.40,,EUR
pump-265-wayne-circlek-pump4-2887l-board-second-angle-ee.jpg,28.87,,55.40,,EUR
pump-266-wayne-circlek-pump3-3629l-discounted-price-board-ee.jpg,36.29,,66.74,,EUR
pump-267-wayne-circlek-pump1-glare-liters-board-ee.jpg,,,122.54,,EUR
pump-268-wayne-olerex-tankur3-idle-board-ee.jpg,,,,,EUR
pump-269-wayne-olerex-tankur5-idle-board-ee.jpg,,,,,EUR
pump-270-gilbarco-circlek-five-grade-3197l-1979-ee.jpg,31.97,1.979,63.27,,EUR
pump-271-gilbarco-circlek-five-grade-1125l-2232-ee.jpg,11.25,2.232,25.11,,EUR
pump-272-gilbarco-circlek-five-grade-pump4-4049l-2132-ee.jpg,40.49,2.132,86.32,,EUR
pump-273-gilbarco-circlek-five-grade-pump2-3546l-1919-ee.jpg,35.46,1.919,68.05,,EUR
pump-274-wayne-neste-night-3024-1513l-board-ee.jpg,15.13,,30.24,,EUR
pump-275-wayne-neste-night-10337-5171l-board-ee.jpg,51.71,,103.37,,EUR
pump-276-wayne-neste-night-8605-3913l-board-ee.jpg,39.13,,86.05,,EUR
pump-277-gilbarco-circlek-peetri-night-pump2-1754l-1959-ee.jpg,17.54,1.959,34.36,,EUR
pump-278-gilbarco-circlek-peetri-night-pump4-3497l-1999-off-by-a-cent-pair-ee.jpg,34.97,1.999,69.91,,EUR
pump-279-gilbarco-circlek-peetri-night-pump3-800l-2059-pair-ee.jpg,8.00,2.059,16.47,,EUR
pump-280-gilbarco-circlek-night-pump11-323l-2184-ee.jpg,3.23,2.184,7.05,,EUR
